campaign_id,campaign_name,audience,age,geography,reach,impressions,frequency,clicks,unique_clicks,unique_link_clicks,click_through_rate,unique_click_through_rate,amount_spent_in_inr,cost_per_click,Cost per Result,,
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,25-34,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",11387,23283,2.044700097,487,406,180,2.09,3.57,1092.24,2.24,6.07,,
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,35-44,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",8761,15683,1.790092455,484,376,154,3.09,4.29,835.46,1.73,5.43,,
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,45-54,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",2867,6283,2.191489362,198,145,65,3.15,5.06,319.38,1.61,4.91,,
Campaign 1,SHU_6 (Educators and Principals),Educators and Principals,55-64,"Group 1 (Australia, Canada, United Kingdom, Ghana, Nigeria, Pakistan, United States)",889,1890,2.125984252,49,40,21,2.59,4.50,86.25,1.76,4.11,,
Campaign 2,SHU3_ (Students Apart from India and US),Students,18-24,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",29675,39161,1.319663016,2593,1994,1095,6.62,6.72,1193.94,0.46,1.09,,
Campaign 2,SHU3_ (Students Apart from India and US),Students,13-17,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",14753,25705,1.742357487,969,698,435,3.77,4.73,299.51,0.31,0.69,,
Campaign 2,SHU3_ (Students Apart from India and US),Students,25-34,"Group 2 (Australia, Canada, United Kingdom, Ghana, Niger, Nigeria, Nepal, Pakistan, Thailand, Taiwan)",2066,2447,1.184414327,181,141,65,7.40,6.82,85.57,0.47,1.32,,
Campaign 3,SHU_Students(Australia),Students,13-17,Australia,2271,2616,1.151915456,61,55,28,2.33,2.42,475.85,7.80,16.99,,
Campaign 3,SHU_Students(Australia),Students,18-24,Australia,704,734,1.042613636,49,46,13,6.68,6.53,283.17,5.78,21.78,,
Campaign 3,SHU_Students(Australia),Students,25-34,Australia,212,222,1.047169811,9,8,3,4.05,3.77,91.66,10.18,30.55,,
Campaign 4,SHU_Students (Canada),Students,13-17,Canada,2330,3146,1.350214592,101,84,63,3.21,3.61,528.08,5.23,8.38,,
Campaign 4,SHU_Students (Canada),Students,18-24,Canada,759,878,1.156785244,52,44,34,5.92,5.80,294.82,5.67,8.67,,
Campaign 4,SHU_Students (Canada),Students,25-34,Canada,218,243,1.114678899,18,18,15,7.41,8.26,101.06,5.61,6.74,,
Campaign 5,SHU_Students(Ghana),Students,18-24,Ghana,5952,6943,1.166498656,284,238,98,4.09,4.00,378.10,1.33,3.86,,
Campaign 5,SHU_Students(Ghana),Students,25-34,Ghana,3717,4620,1.242937853,184,160,46,3.98,4.30,282.22,1.53,6.14,,
Campaign 5,SHU_Students(Ghana),Students,13-17,Ghana,5355,8920,1.66573296,180,154,93,2.02,2.88,177.46,0.99,1.91,,
Campaign 6,SHU_Students (India),Students,18-24,India,30110,35372,1.174759216,1308,1162,934,3.70,3.86,894.00,0.68,0.96,,
Campaign 6,SHU_Students (India),Students,25-34,India,1721,1874,1.088901801,92,76,53,4.91,4.42,61.21,0.67,1.15,,
Campaign 7,SHU_Students(Nepal),Students,18-24,Nepal,18900,36659,1.93962963,849,688,306,2.32,3.64,634.64,0.75,2.07,,
Campaign 7,SHU_Students(Nepal),Students,13-17,Nepal,6145,19474,3.169080553,325,246,129,1.67,4.00,211.76,0.65,1.64,,
Campaign 7,SHU_Students(Nepal),Students,25-34,Nepal,4623,9082,1.9645252,246,212,83,2.71,4.59,188.84,0.77,2.28,,
Campaign 8,SHU_Students (Nigeria),Students,18-24,Nigeria,11027,13820,1.253287386,1491,1132,548,10.79,10.27,542.67,0.36,0.99,,
Campaign 8,SHU_Students (Nigeria),Students,13-17,Nigeria,8516,12372,1.452794739,970,696,408,7.84,8.17,282.21,0.29,0.69,,
Campaign 8,SHU_Students (Nigeria),Students,25-34,Nigeria,2386,2782,1.165968148,304,230,117,10.93,9.64,117.90,0.39,1.01,,
Campaign 9,SHU_Students(UAE),Students,25-34,UAE,2892,3347,1.157330567,135,102,41,4.03,3.53,455.49,3.37,11.11,,
Campaign 9,SHU_Students(UAE),Students,18-24,UAE,2862,3234,1.129979036,72,60,27,2.23,2.10,316.14,4.39,11.71,,
Campaign 9,SHU_Students(UAE),Students,13-17,UAE,1579,2079,1.316656111,35,32,20,1.68,2.03,104.63,2.99,5.23,,
Campaign 10,SHU_Students(UK),Students,13-17,UK,2557,2941,1.150175987,69,60,33,2.35,2.35,487.52,7.07,14.77,,
Campaign 10,SHU_Students(UK),Students,18-24,UK,741,785,1.059379217,39,34,20,4.97,4.59,255.57,6.55,12.78,,
Campaign 10,SHU_Students(UK),Students,25-34,UK,338,365,1.079881657,13,11,4,3.56,3.25,113.58,8.74,28.40,,
Campaign 11,SHU_Students (USA),Students,13-17,USA,2159,2465,1.141732283,126,111,95,5.11,5.14,691.28,5.49,7.28,,
Campaign 11,SHU_Students (USA),Students,18-24,USA,305,332,1.08852459,43,37,28,12.95,12.13,159.14,3.70,5.68,,
Campaign 11,SHU_Students (USA),Students,25-34,USA,91,103,1.131868132,9,8,3,8.74,8.79,47.26,5.25,15.75,,
